date, LordAro, _46, Taneb, bjs, icydoge, liamfraser, Speed`, sdhand, ddm, nitia, is_term_time
2014-01-18, 49, 14, 13, 0, 0, 27, 38, 0, 0, 0, 1
2014-01-19, 166, 47, 61, 0, 0, 73, 48, 0, 0, 0, 1
2014-01-20, 160, 99, 68, 0, 0, 3, 68, 0, 0, 0, 1
2014-01-21, 166, 65, 107, 0, 0, 67, 196, 0, 0, 0, 1
2014-01-22, 88, 23, 54, 0, 0, 6, 63, 0, 0, 0, 1
2014-01-23, 53, 127, 31, 0, 0, 8, 75, 0, 0, 0, 1
2014-01-24, 20, 37, 35, 0, 0, 76, 215, 0, 0, 0, 1
2014-01-25, 152, 59, 79, 0, 0, 6, 0, 0, 0, 0, 1
2014-01-26, 60, 21, 19, 0, 0, 4, 27, 0, 0, 0, 1
2014-01-27, 30, 112, 35, 0, 0, 9, 17, 0, 0, 0, 1
2014-01-28, 61, 33, 38, 0, 0, 0, 30, 0, 0, 0, 1
2014-01-29, 24, 86, 72, 0, 0, 1, 35, 0, 0, 0, 1
2014-01-30, 32, 115, 53, 0, 0, 18, 77, 0, 0, 0, 1
2014-01-31, 69, 39, 61, 0, 0, 13, 21, 0, 0, 0, 1
2014-02-01, 185, 51, 73, 0, 0, 2, 39, 0, 0, 0, 1
2014-02-02, 204, 32, 53, 0, 0, 8, 5, 0, 0, 0, 1
2014-02-03, 66, 15, 36, 0, 0, 2, 2, 0, 0, 0, 1
2014-02-04, 141, 61, 86, 0, 0, 15, 53, 0, 0, 0, 1
2014-02-05, 10, 29, 14, 0, 0, 9, 14, 0, 0, 0, 1
2014-02-06, 29, 18, 45, 0, 0, 7, 25, 0, 0, 0, 1
2014-02-07, 134, 53, 116, 0, 0, 1, 59, 0, 0, 0, 1
2014-02-08, 63, 25, 40, 0, 0, 13, 6, 0, 0, 0, 1
2014-02-09, 68, 26, 37, 0, 0, 0, 14, 0, 0, 0, 1
2014-02-10, 165, 44, 66, 0, 0, 9, 23, 0, 0, 0, 1
